filename,number,start.checkin,leave.table,start.voting,end.voting,get.in.line,leave.line,begin.scanning,end.scanning
ny (18),3,16:34:30,16:35:10,16:36:00,16:39:15,16:39:27,16:39:45,16:39:47,16:40:00
ny (18),4,16:40:10,16:40:50,16:40:57,16:45:40,,,16:46:01,16:46:24
ny (18),5,16:55:40,16:56:40,16:56:45,16:59:12,16:59:25,16:59:33,16:59:36,16:59:48
ny (18),7,17:01:00,17:01:44,17:01:50,17:03:35,17:03:46,17:03:51,17:03:57,17:04:11
ny (18),8,17:05:47,17:06:10,17:06:12,17:08:17,17:08:30,17:08:43,17:08:50,17:09:13
ny (19),1,12:38:00,12:39:00,12:39:00,12:41:00,12:41:00,12:41:00,12:41:00,12:41:00
ny (19),2,12:39:00,12:39:00,12:39:00,12:40:00,12:40:00,12:41:00,12:41:00,12:41:00
ny (19),3,12:43:00,12:44:00,12:44:00,12:47:00,12:47:00,12:47:00,12:47:00,12:47:00
ny (19),4,12:47:00,12:48:00,12:49:00,12:51:00,12:52:00,12:53:00,12:53:00,12:53:00
ny (19),5,12:50:00,12:50:00,12:50:00,12:54:00,12:54:00,12:54:00,12:54:00,12:56:00
ny (19),6,13:04:00,13:05:00,13:05:00,13:09:00,13:09:00,13:09:00,13:10:00,13:10:00
ny (19),7,13:05:00,13:05:00,13:05:00,13:06:00,13:06:00,13:06:00,13:06:00,13:06:00
ny (19),8,13:08:00,13:08:00,13:08:00,13:08:00,13:11:00,13:11:00,13:11:00,13:11:00
ny (19),9,13:11:00,13:11:00,13:11:00,13:13:00,13:13:00,13:13:00,13:13:00,13:13:00
ny (19),10,13:12:00,13:12:00,13:13:00,13:13:00,13:20:00,13:20:00,13:20:00,13:20:00
ny (2),1,13:27:30,13:28:00,13:28:50,13:30:50,13:30:53,13:31:30,13:31:32,13:32:11
ny (2),2,13:36:11,13:36:44,13:37:00,13:38:20,,,13:38:25,13:38:40
ny (2),3,13:39:12,13:39:53,13:40:15,13:42:15,,,13:42:24,13:42:44
ny (2),4,13:43:58,13:46:30,13:46:41,13:48:48,,,13:48:56,13:49:09
ny (2),5,13:48:14,13:49:05,13:49:10,13:50:45,,,13:50:51,13:51:08
ny (2),6,13:53:18,13:53:56,13:54:10,13:55:47,,,13:56:12,13:56:50
ny (2),7,13:55:23,13:56:00,13:56:10,14:00:00,,,14:00:07,14:00:20
ny (2),8,14:02:28,14:03:20,14:03:41,14:08:02,,,14:08:15,14:08:28
ny (2),9,14:09:45,14:10:12,14:11:02,14:15:25,,,14:15:40,14:15:54
ny (2),10,14:16:56,14:17:20,14:18:00,14:19:25,,,14:19:27,14:19:40
ny (3),1,14:22:00,14:23:12,14:25:00,14:28:19,14:28:19,14:28:54,14:28:54,14:28:59
ny (3),2,14:30:00,14:30:42,14:30:42,14:33:12,14:33:20,14:33:22,14:33:22,14:33:40
ny (3),3,14:34:00,14:35:55,14:35:55,14:37:07,14:37:07,14:37:08,14:37:08,14:37:11
ny (3),4,14:44:00,14:44:38,14:44:38,14:46:58,14:47:03,14:47:07,14:47:07,14:47:11
ny (3),5,14:48:00,14:48:30,14:48:30,14:50:30,14:50:30,14:50:32,14:50:32,14:50:36
ny (3),6,14:54:00,14:55:13,14:55:13,14:58:50,14:58:50,14:58:55,,14:58:59
ny (3),7,15:01:00,15:01:38,15:01:38,15:04:30,15:04:30,15:04:31,15:04:31,15:04:37
ny (3),8,15:13:00,15:13:38,15:13:38,15:15:23,15:15:28,15:15:20,15:15:28,15:15:35
ny (4),1,21:17:00,21:18:00,21:18:00,21:20:00,21:20:00,21:20:00,21:20:00,21:20:00
ny (4),2,21:17:00,21:19:00,21:19:00,21:20:00,21:20:00,21:20:00,21:20:00,21:20:00
ny (4),3,21:19:00,21:19:00,21:20:00,21:24:00,21:24:00,21:25:00,21:25:00,21:25:00
ny (4),4,21:20:00,21:20:00,21:21:00,21:24:00,21:24:00,21:24:00,21:24:00,21:24:00
ny (4),5,21:21:00,21:21:00,21:21:00,21:26:00,21:26:00,21:27:00,21:27:00,21:27:00
ny (4),6,21:25:00,21:25:00,21:26:00,21:30:00,21:30:00,21:31:00,21:31:00,21:31:00
ny (4),7,21:26:00,21:27:00,21:27:00,21:30:00,21:30:00,21:30:00,21:30:00,21:30:00
ny (4),8,21:29:00,21:29:00,21:30:00,21:33:00,21:33:00,21:34:00,21:35:00,21:35:00
ny (4),9,21:31:00,21:32:00,21:32:00,21:36:00,21:36:00,21:36:00,21:36:00,21:36:00
ny (4),10,21:32:00,21:33:00,21:33:00,21:35:00,21:35:00,21:35:00,21:35:00,21:35:00
ny (5),1,11:07:00,11:07:00,11:07:00,11:10:00,11:10:00,11:10:00,11:11:00,11:11:00
ny (5),2,11:08:00,11:08:00,11:08:00,11:11:00,11:11:00,11:11:00,11:11:00,11:11:00
ny (5),3,11:11:00,11:11:00,11:11:00,11:14:00,11:14:00,11:14:00,11:14:00,11:15:00
ny (5),4,11:15:00,11:15:00,11:15:00,11:17:00,11:17:00,11:17:00,11:17:00,11:18:00
ny (5),5,11:20:00,11:21:00,11:21:00,11:22:00,11:22:00,11:22:00,11:22:00,11:22:00
ny (5),6,11:23:00,11:23:00,11:23:00,11:25:00,11:25:00,11:26:00,11:26:00,11:26:00
ny (5),7,11:27:00,11:27:00,11:27:00,11:30:00,11:30:00,11:30:00,11:30:00,11:30:00
ny (5),8,11:28:00,11:29:00,11:29:00,11:31:00,11:31:00,11:31:00,11:31:00,11:31:00
ny (5),9,11:33:00,11:34:00,11:34:00,11:40:00,11:40:00,11:40:00,11:40:00,11:40:00
ny (5),10,11:38:00,11:38:00,11:38:00,11:40:00,11:40:00,11:41:00,11:41:00,11:41:00
ny (6),1,17:31:04,17:31:49,17:32:14,17:34:31,17:34:35,17:34:36,17:34:50,17:35:20
ny (6),2,17:32:44,17:33:08,17:34:11,17:37:55,17:38:02,17:38:20,17:38:40,17:39:06
ny (6),3,17:36:36,17:37:13,17:37:31,17:40:25,17:40:35,17:40:36,17:40:36,17:40:45
ny (6),4,17:37:45,17:38:01,17:38:09,17:40:17,17:40:40,17:41:11,17:41:19,17:41:31
ny (6),5,17:40:20,17:40:55,17:41:08,17:42:33,17:42:41,17:42:41,17:42:42,17:42:50
ny (6),6,17:41:21,17:42:45,17:43:12,17:48:17,17:48:19,17:48:19,17:48:21,17:48:36
ny (6),7,17:43:18,17:43:58,17:44:22,17:47:47,17:47:59,17:48:09,17:49:02,17:49:30
ny (6),8,17:45:14,17:46:02,17:46:31,17:49:38,17:49:55,17:49:55,17:50:00,17:50:12
ny (6),9,17:48:10,17:48:50,17:48:57,17:49:50,17:49:50,17:49:50,17:49:50,17:49:57
ny (6),10,17:51:22,17:52:20,17:52:23,17:53:56,17:53:56,17:53:56,17:53:56,17:54:09
ny (7),1,7:45:01,7:46:12,7:46:24,7:48:45,7:48:58,7:48:58,7:49:00,7:49:20
ny (7),2,7:48:12,7:48:55,7:49:12,7:50:20,7:50:24,7:50:24,7:50:24,7:50:37
ny (7),3,7:53:44,7:54:26,7:54:51,7:55:29,7:55:34,7:55:34,7:55:35,7:55:41
ny (7),5,8:09:27,8:09:46,8:09:53,8:11:40,8:12:18,8:12:20,8:12:20,8:12:25
ny (7),6,8:28:35,8:28:51,8:28:59,8:29:53,8:30:02,8:30:02,8:30:02,8:30:12
ny (8),1,6:41:30,6:42:10,6:42:12,6:43:10,6:43:11,6:43:12,6:43:12,6:43:18
ny (8),2,6:42:45,6:42:56,6:43:10,6:44:02,6:44:03,6:44:04,6:44:06,6:44:14
ny (8),3,6:43:17,6:43:50,6:44:01,6:44:34,6:44:36,6:44:38,6:44:38,6:44:38
ny (8),4,6:45:40,6:46:31,6:46:31,6:46:38,6:46:48,6:46:48,6:46:49,6:46:55
ny (8),5,6:55:11,6:55:20,6:55:30,6:55:53,6:55:54,6:55:54,6:55:55,6:55:59
ny (8),6,6:59:47,6:59:57,6:59:59,7:01:30,7:01:30,7:01:31,7:01:32,7:01:33
ny (8),7,7:03:50,7:03:57,7:04:01,7:05:10,7:05:10,7:05:10,7:05:10,7:05:15
ny (8),8,7:03:50,7:04:04,7:04:22,7:05:10,7:05:10,7:05:20,7:05:20,7:05:23
ny (8),9,7:04:10,7:04:45,7:05:14,7:05:48,7:05:48,7:05:48,7:05:48,7:05:53
ny (8),10,7:09:45,7:09:59,7:10:51,7:12:14,7:12:19,7:12:19,7:12:20,7:12:25
ny (9),1,17:26:00,17:28:00,17:29:00,17:33:00,17:33:00,17:33:00,17:33:00,17:34:00
ny (9),2,17:27:00,17:28:00,17:28:00,17:32:00,17:32:00,17:34:00,17:34:00,17:34:00
ny (9),3,,,17:29:00,,17:32:00,17:34:00,17:34:00,17:34:00
ny (9),4,17:30:00,17:30:00,17:30:00,,17:32:00,17:34:00,17:34:00,17:35:00
ny (9),5,17:30:00,17:30:00,17:30:00,17:32:00,,17:35:00,17:36:00,17:36:00
ny (9),6,17:31:00,17:32:00,,17:36:00,17:36:00,17:38:00,17:38:00,17:38:00
ny (9),7,17:34:00,17:35:00,,17:37:00,17:37:00,17:37:00,17:37:00,17:37:00
ny (9),8,,17:36:00,17:36:00,17:39:00,17:39:00,17:39:00,17:39:00,17:39:00
ny (9),9,17:39:00,17:39:00,,17:41:00,17:41:00,17:41:00,17:41:00,17:41:00
ny (9),10,17:39:00,17:40:00,17:40:00,17:42:00,17:42:00,17:42:00,17:43:00,17:43:00
